species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,Michael Pearson,-64.50629278388432,-63.723720709557576
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,Denise Scott,-64.45139154170153,-63.73697496918544
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,Mary Turner,-64.47946583779179,-63.696808236981255
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,Daniel Valenzuela,-64.47393601934144,-63.738357114212185
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,David Brock,-64.46092724226202,-63.70323114083917
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,Brittany Arnold,-64.46600648253774,-63.72898683136329
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,Carmen Pearson,-64.47597102041297,-63.72633349792683
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,Catherine Davis,-64.45359730234088,-63.724488882512354
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,Kayla Lee,-64.47862778871668,-63.69186272384908
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,Daniel Yates,-64.49734955763327,-63.719519865081196
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,Ashley Meyers,-64.4534362688219,-63.70772391196459
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,Douglas Johnson,-64.48212127429494,-63.72869355760523
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,Ashley Fox,-64.52392876534833,-63.711598150293874
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,John Jennings,-64.48138426025984,-63.706612471936054
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,Jordan Washington,-64.49790959923098,-63.748909493677814
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,Kyle Davis,-64.74149989360623,-63.7613661832003
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,David Grimes,-64.73895162388628,-63.77793364785662
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,Andrea Thomas,-64.71317381842333,-63.75573647218992
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,Laura Smith,-64.71827891711719,-63.76803901533869
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,Terry Henderson,-64.74408014460411,-63.81773760977464
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,Keith Crosby,-64.72488021901943,-63.79606626686133
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,Eric Lopez,-64.7564254955643,-63.799180268983434
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,Julie Scott,-64.73542885753075,-63.76968367955583
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,Andrew Edwards,-64.73635732673274,-63.78323811255936
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,Ms. Diane Mayer,-64.74445534088004,-63.82734830891377
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,David Johnson,-64.74109667838786,-64.20697392957439
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,Cristian Hall,-64.75536467827855,-64.24392464701776
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,Deborah Wright,-64.72907596590947,-64.21611130955098
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,Sylvia Carter,-64.71034498793188,-64.20173330634027
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,Jackie Hoffman,-64.72389973978842,-64.2310102678077
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,Terri Todd,-64.75093374462787,-64.19302708298193
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,Sarah Richardson,-64.68666071198095,-64.20202498737206
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,Tyler Gardner,-64.69393382437585,-64.1777869573716
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,Emily Herman,-64.70607430957307,-64.19142420817899
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,Danielle Peck,-64.68491807764198,-64.24251808844664
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,Gerald Baker,-64.70892157453906,-64.22032899567073
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,Curtis Schwartz,-64.75450707208492,-64.27189588201131
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,David West,-64.73191059979702,-64.21950044805409
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,Jamie Glover,-64.70733106346898,-64.25011674013483
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,Jacob Coleman,-64.71970544546761,-64.22007413109544
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,Daniel Thomas,-64.7136690267318,-64.24615799041207
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,Bridget Barnett,-64.74797335449495,-64.23724090508519
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,Timothy Douglas,-64.72599732722423,-64.17112862985353
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,Amber Russell,-64.72041822179966,-64.20999637211519
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,John Mahoney,-64.72146849399401,-63.77538973459013
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,Amy Frazier,-64.72473808883746,-63.78651241114632
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,Kimberly Davis,-64.75007756823544,-63.78419745611922
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,Jessica Hooper,-64.76995814015233,-63.79338024342845
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,Sandra Velazquez,-64.71775137227469,-63.788542112165864
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,Riley Torres,-64.74292408643961,-63.773571239848145
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,James Chapman,-64.7281732274076,-63.802729362213874
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,Jerry Mueller,-64.72209170697487,-63.781537312149716
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,Joseph Phillips DVM,-64.74260782725514,-63.7760603321525
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,Michael Brewer,-64.77118036207408,-63.7813270842266
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,Zachary Young,-64.72534130628866,-63.817974592067664
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,Tanya Santana DVM,-64.71949629063828,-63.80566274868918
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,Jeremy Reed,-64.76277817514561,-63.81241157996741
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,Alyssa Taylor,-64.75041924281263,-63.76554904123359
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,Renee Mccarthy,-64.70502032755745,-63.77050719140036
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,Kelly Conley,-64.76951748886813,-63.77986031865427
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,Steven Jones,-64.72857683322736,-63.82738176190981
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,Kenneth Bauer,-64.75331225669133,-63.78409592659725
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,Michael Faulkner,-64.4511243689252,-63.722732309634694
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,Curtis Johnson,-64.43840217648813,-63.72903418056244
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,Karen Hughes,-64.45213673034009,-63.68462664627514
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,Barbara Walker,-64.50454878551953,-63.746893388304294
